contaminant,authorization,limit,clean_amount_released,clean_amount_released_float,amount_released,source,event_id,region,date
Benzene,Permit 21101 (as VOC),476.58 LBS/HR,0.16 ,0.2,0.16 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 10,#N/A
"Butadiene, 1-3",Permit 21101 (as VOC),476.58 LBS/HR,12.86 ,12.9,12.86 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 10,#N/A
Carbon Monoxide,Permit 21101,364.28 LBS/HR,31.61 ,31.6,31.61 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 10,#N/A
NOX,Permit 21101,71.49 LBS/HR,5.48 ,5.5,5.48 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 10,#N/A
Other VOCs,Permit 21101,476.58 LBS/HR,30.54 ,30.5,30.54 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 10,#N/A
Butanes,Permit 49138,5156.31 LBS/HR,6554.82 ,6554.8,6554.82 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10,#N/A
Carbon Monoxide,Permit 49138,3919.77 LBS/HR,4981.12 ,4981.1,4981.12 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10,#N/A
Hydrogen Sulfide,Permit 49138,157.03 LBS/HR,17.52 ,17.5,17.52 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10,#N/A
Nitrogen Oxides (NOx),Permit 49138,1028.46 LBS/HR,697.36 ,697.4,697.36 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10,08/09/2017 1:55 AM
Pentanes,Permit 49138,5156.31 LBS/HR,3229.04 ,3229.0,3229.04 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10,08/06/2017 2:26 PM
Propane,Permit 49138,5156.31 LBS/HR,1384.81 ,1384.8,1384.81 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10,08/12/2017 3:21 AM
Sulfur dioxide,Permit 49138,15649.92 LBS/HR,1613.41 ,1613.4,1613.41 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 10,08/05/2017 5:38 PM
Carbon Monoxide,Permit 49138,3919.77 LBS/HR,76.41 ,76.4,76.41 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10,#N/A
Hydrogen Sulfide,Permit 49138,157.03 LBS/HR,0.79 ,0.8,0.79 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10,#N/A
Nitrogen Oxides (NOx),Permit 49138,1028.46 LBS/HR,45.92 ,45.9,45.92 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10,#N/A
PM10,Permit 49138,1020.67 LBS/HR,1.97 ,2.0,1.97 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10,#N/A
Sulfur dioxide,Permit 49138,15649.92 LBS/HR,19165.7 ,19165.7,19165.7 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10,#N/A
VOC (unspeciated),Permit 49138,5156.31 LBS/HR,0.04 ,0.0,0.04 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 10,#N/A
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,36.14 ,36.1,36.14 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 10,#N/A
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,0.08 ,0.1,0.08 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 10,#N/A
NOX,NSR Permit 46396,33.0 LBS/HR,7.11 ,7.1,7.11 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 10,#N/A
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,1699.69 ,1699.7,1699.69 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 10,#N/A
VOC,NSR Permit 46396,529.58 LBS/HR,26.23 ,26.2,26.23 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 10,#N/A
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,94.39 ,94.4,94.39 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 10,#N/A
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,0.03 ,0.0,0.03 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 10,#N/A
NOX,NSR Permit 46396,33.0 LBS/HR,17.79 ,17.8,17.79 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 10,#N/A
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,6213.69 ,6213.7,6213.69 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 10,#N/A
VOC,NSR Permit 46396,529.58 LBS/HR,134.09 ,134.1,134.09 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 10,#N/A
Crude Oil,101.1/ Stand. Permit No.13493,1.0 bbls,5400.0 ,5400.0,5400.0 lbs (est.),"Source 3: Tank 217/IFR , EPN number Tank 217/IFR",267063,region 10,08/29/2017 4:45 PM
Opacity,Permit O982,10.0 % op,#VALUE!,#VALUE!,100.0 % op (est.),"Source 2: Continuous Kiln No. 3 , EPN number K-03",266258,region 10,#N/A
Opacity,Permit O982,10.0 % op,#VALUE!,#VALUE!,100.0 % op (est.),"Source 4: Kiln No. 3 Burner Abort Stack , EPN number ABRSTK",266258,region 10,08/12/2017 5:36 AM
Opacity,No specific emissions authorizations for this facility',10.0 % op,#VALUE!,#VALUE!,72.33 % op (est.),"Source 1: Boiler , EPN number 22",266504,region 10,08/18/2017 2:28 AM
Opacity,No specific emissions authorizations for this facility',10.0 % op,#VALUE!,#VALUE!,27.78 % op (est.),"Source 1: Boiler , EPN number 22",266580,region 10,#N/A
Sulfur dioxide,NSR Permit 80812 Site Wide CAP,641.19 LBS/HR,6116.12 ,6116.1,6116.12 lbs (est.),"Source 3: Flare 23 , EPN number E-23-FLARE",266817,region 10,08/12/2017 9:30 AM
Carbon Monoxide,Permit 8404,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 10,08/27/2017 7:57 PM
Hydrogen Sulfide,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 10,08/10/2017 1:07 AM
Nitrogen Oxides (NOx),Permit 8404,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 10,08/26/2017 8:42 AM
Sulfur dioxide,Permit 8404,0,501.0 ,501.0,501.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 10,#N/A
VOCs,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 10,#N/A
Carbon Monoxide,Permit 8404,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 10,#N/A
Hydrogen Sulfide,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 10,#N/A
Nitrogen Oxides (NOx),Permit 8404,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 10,#N/A
Sulfur dioxide,Permit 8404,0,501.0 ,501.0,501.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 10,#N/A
VOCs,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 10,#N/A
Carbon Monoxide,Permit 8404,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 5: DCU1 Flare , EPN number EDCU1",266550,region 10,#N/A
Hydrogen Sulfide,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 5: DCU1 Flare , EPN number EDCU1",266550,region 10,#N/A
Nitrogen Oxides (NOx),Permit 8404,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 5: DCU1 Flare , EPN number EDCU1",266550,region 10,#N/A
Sulfur dioxide,Permit 8404,0,501.0 ,501.0,501.0 lbs (est.),"Source 5: DCU1 Flare , EPN number EDCU1",266550,region 10,#N/A
VOCs,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 5: DCU1 Flare , EPN number EDCU1",266550,region 10,#N/A
Carbon Monoxide,Permit 6056,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 10,#N/A
Hydrogen Sulfide,Permit 6056,0,101.0 ,101.0,101.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 10,#N/A
Nitrogen Oxides (NOx),Permit 6056,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 10,#N/A
Sulfur dioxide,Permit 6056,0,501.0 ,501.0,501.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 10,#N/A
VOCs,Permit 6056,0,101.0 ,101.0,101.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 10,#N/A
Carbon Monoxide,Permit 8404,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 10,#N/A
Hydrogen Sulfide,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 10,#N/A
Nitrogen Oxides (NOx),Permit 8404,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 10,#N/A
Sulfur dioxide,Permit 8404,0,501.0 ,501.0,501.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 10,#N/A
VOCs,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 10,#N/A
Carbon Monoxide,Permit 6056,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 10,#N/A
Hydrogen Sulfide,Permit 6056,0,101.0 ,101.0,101.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 10,#N/A
Nitrogen Oxides (NOx),Permit 6056,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 10,#N/A
Sulfur dioxide,Permit 6056,0,501.0 ,501.0,501.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 10,#N/A
VOCs,Permit 6056,0,101.0 ,101.0,101.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 10,#N/A
Carbon Monoxide,Permit 8404,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 10,#N/A
Hydrogen Sulfide,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 10,#N/A
Nitrogen Oxides (NOx),Permit 8404,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 10,#N/A
Sulfur dioxide,Permit 8404,0,501.0 ,501.0,501.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 10,#N/A
VOCs,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 10,#N/A
Carbon Monoxide,Permit 8404,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 10,#N/A
Hydrogen Sulfide,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 10,#N/A
Nitrogen Oxides (NOx),Permit 8404,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 10,#N/A
Sulfur dioxide,Permit 8404,0,501.0 ,501.0,501.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 10,#N/A
VOCs,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 10,#N/A
Carbon Monoxide,Permit 6056,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 10,#N/A
Hydrogen Sulfide,Permit 6056,0,101.0 ,101.0,101.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 10,#N/A
Nitrogen Oxides (NOx),Permit 6056,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 10,#N/A
Sulfur dioxide,Permit 6056,0,501.0 ,501.0,501.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 10,#N/A
VOCs,Permit 6056,0,101.0 ,101.0,101.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 10,#N/A
Carbon Monoxide,Permit 8404,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 10,#N/A
Hydrogen Sulfide,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 10,#N/A
Nitrogen Oxides (NOx),Permit 8404,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 10,#N/A
Sulfur dioxide,Permit 8404,0,501.0 ,501.0,501.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 10,#N/A
VOCs,Permit 8404,0,101.0 ,101.0,101.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 10,#N/A
Carbon Monoxide,Permit 6056,0,5001.0 ,5001.0,5001.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 10,#N/A
Hydrogen Sulfide,Permit 6056,0,101.0 ,101.0,101.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 10,#N/A
Nitrogen Oxides (NOx),Permit 6056,0,1001.0 ,1001.0,1001.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 10,#N/A
Sulfur dioxide,Permit 6056,0,501.0 ,501.0,501.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 10,#N/A
VOCs,Permit 6056,0,101.0 ,101.0,101.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 10,#N/A
Methyl tert-butyl ether,NSR 20160,0.04 LBS/HR,1000.0 ,1000.0,1000.0 lbs (est.),"Source 3: PO Fugitives , EPN number POFUG",266763,region 10,#N/A
CO,NSR Permit 46396,39.53 LBS/HR,22.72 ,22.7,22.72 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 10,#N/A
Hydrogen Sulfide,NSR Permit 46396,0.03 LBS/HR,1.3 ,1.3,1.3 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 10,#N/A
NOX,NSR Permit 46396,6.4 LBS/HR,4.4 ,4.4,4.4 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 10,#N/A
Other material,NSR Permit 46396 (as PM2.5),2.5 LBS/HR,0.97 ,1.0,0.97 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 10,#N/A
PM10,NSR Permit 46396,2.5 LBS/HR,0.97 ,1.0,0.97 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 10,#N/A
Particulate Matter,NSR Permit 46396,2.5 LBS/HR,0.97 ,1.0,0.97 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 10,#N/A
Sulfur dioxide,NSR Permit 46396,55.31 LBS/HR,2506.67 ,2506.7,2506.67 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 10,#N/A
VOC,NSR Permit 46396,0.43 LBS/HR,0.5 ,0.5,0.5 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 10,#N/A
Benzene,No specific Authorization,0,11.0 ,11.0,11.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 10,#N/A
Indane,No specific Authorization,0,22.0 ,22.0,22.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 10,#N/A
Indene,No specific Authorization,0,11.0 ,11.0,11.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 10,#N/A
Naphthalene,No specific Authorization,0,126.0 ,126.0,126.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 10,#N/A
Toluene,No specific Authorization,0,7.0 ,7.0,7.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 10,#N/A
VOC,No specific Authorization,0,69.0 ,69.0,69.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 10,#N/A
Xylene,No specific Authorization,0,7.0 ,7.0,7.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 10,#N/A
"1,3-BUTADIENE",No specific Authorization,0,13000.0 ,13000.0,13000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Acetylene,No specific Authorization,0,1000.0 ,1000.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Benzene,No specific Authorization,0,12000.0 ,12000.0,12000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Butanes,No specific Authorization,0,7000.0 ,7000.0,7000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
"Butenes, All Isomers",No specific Authorization,0,7500.0 ,7500.0,7500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Carbon Monoxide,No specific Authorization,0,240000.0 ,240000.0,240000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Ethylbenzene,No specific Authorization,0,1500.0 ,1500.0,1500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Ethylene (gaseous),No specific Authorization,0,120000.0 ,120000.0,120000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Isobutylene,No specific Authorization,0,2000.0 ,2000.0,2000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Isoprene,No specific Authorization,0,1000.0 ,1000.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Nitrogen dioxide,No specific Authorization,0,1200.0 ,1200.0,1200.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Nitrogen oxide,No specific Authorization,0,23000.0 ,23000.0,23000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Pentadiene,No specific Authorization,0,1000.0 ,1000.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Pentanes,No specific Authorization,0,17000.0 ,17000.0,17000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Propadiene,No specific Authorization,0,1000.0 ,1000.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Propane,No specific Authorization,0,40000.0 ,40000.0,40000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Propylene,No specific Authorization,0,40000.0 ,40000.0,40000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Styrene,No specific Authorization,0,1000.0 ,1000.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Toluene,No specific Authorization,0,3000.0 ,3000.0,3000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Xylenes,No specific Authorization,0,1000.0 ,1000.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 10,#N/A
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,200.0 ,200.0,200.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 10,#N/A
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,1.0 ,1.0,1.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 10,#N/A
Nitrogen oxide,NSR Permit 46396,33.0 LBS/HR,68.0 ,68.0,68.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 10,#N/A
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,22000.0 ,22000.0,22000.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 10,#N/A
VOC,NSR Permit 46396,529.58 LBS/HR,600.0 ,600.0,600.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 10,#N/A
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,200.0 ,200.0,200.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 10,#N/A
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,1.0 ,1.0,1.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 10,#N/A
Nitrogen oxide,NSR Permit 46396,33.0 LBS/HR,66.0 ,66.0,66.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 10,#N/A
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,15000.0 ,15000.0,15000.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 10,#N/A
VOC,NSR Permit 46396,529.58 LBS/HR,600.0 ,600.0,600.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 10,#N/A
Carbon Monoxide,NSR Permit 46396,40.37 LBS/HR,121.0 ,121.0,121.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 10,#N/A
Hydrogen Sulfide,NSR Permit 46396,1.06 LBS/HR,28.0 ,28.0,28.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 10,#N/A
Nitrogen oxide,NSR Permit 46396,4.5 LBS/HR,10.0 ,10.0,10.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 10,#N/A
PM10,NSR Permit 46396,1.08 LBS/HR,2.0 ,2.0,2.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 10,#N/A
